data,fonte,id,descricao,endereco,rua,numero,bairro,cidade,valor,periodicidade,condominio,area,qtd_banheiros,qtd_quartos,qtd_vagas,url,amenities
2023-11-07 15:35:12.637064,Vivareal,2605644179,"Sala/Conjunto    para Aluguel, 126m²","Rodovia José Carlos Daux - Cacupé, Florianópolis - SC",Rodovia José Carlos Daux ,, Cacupé,florianopolis,6000,Mês,,126.0,2.0,,4.0,https://vivareal.com.br/imovel/sala-comercial-cacupe-bairros-florianopolis-com-garagem-126m2-aluguel-RS6000-id-2605644179/,Elevador; Garagem; Jardim
2023-11-07 15:35:12.638443,Vivareal,2661654856,"Apartamento com 2 Quartos para Aluguel, 101m²","Rua Jerônimo Venâncio das Chagas - Campeche, Florianópolis - SC",Rua Jerônimo Venâncio das Chagas ,, Campeche,florianopolis,8000,Mês,537.0,101.0,3.0,2.0,1.0,https://vivareal.com.br/imovel/apartamento-2-quartos-campeche-bairros-florianopolis-com-garagem-101m2-aluguel-RS8000-id-2661654856/,Garagem; Cozinha; Jardim; Salão de jogos; Área de serviço
2023-11-07 15:35:12.639857,Vivareal,2576870047,"Sala/Conjunto    para Aluguel, 180m²","Centro, Florianópolis - SC",,,Centro,florianopolis,10000,Mês,,180.0,,,3.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-180m2-aluguel-RS10000-id-2576870047/,Ar-condicionado; Depósito; Elevador; Interfone; Sistema de alarme
2023-11-07 15:35:12.641327,Vivareal,2578357345,"Cobertura com 5 Quartos para Aluguel, 318m²","Santinho, Florianópolis - SC",,,Santinho,florianopolis,18000,Mês,2194.0,318.0,6.0,5.0,4.0,https://vivareal.com.br/imovel/cobertura-5-quartos-santinho-bairros-florianopolis-com-garagem-318m2-aluguel-RS18000-id-2578357345/,Mobiliado; Churrasqueira; Condomínio fechado; Varanda; Academia; ...
2023-11-07 15:35:12.642731,Vivareal,2626204468,"Apartamento com 4 Quartos para Aluguel, 196m²","Capoeiras, Florianópolis - SC",,,Capoeiras,florianopolis,6900,Mês,495.0,196.0,3.0,4.0,2.0,https://vivareal.com.br/imovel/apartamento-4-quartos-capoeiras-bairros-florianopolis-com-garagem-196m2-aluguel-RS6900-id-2626204468/,Piscina; Elevador; Varanda; Ar-condicionado; Playground; ...
2023-11-07 15:35:12.644208,Vivareal,2666600636,"Sala/Conjunto    para Aluguel, 52m²","Centro, Florianópolis - SC",,,Centro,florianopolis,1900,Mês,,52.0,1.0,,1.0,https://vivareal.com.br/imovel/sala-comercial-centro-bairros-florianopolis-com-garagem-52m2-aluguel-RS1900-id-2666600636/,Elevador
2023-11-07 15:35:12.645643,Vivareal,2642405761,"Ponto comercial/Loja/Box    para Aluguel, 27m²","Rua Esteves Júnior, 50 - Centro, Florianópolis - SC",Rua Esteves Júnior,50.0, Centro,florianopolis,1000,Mês,,27.0,,,1.0,https://vivareal.com.br/imovel/ponto-comercial-centro-bairros-florianopolis-com-garagem-27m2-aluguel-RS1000-id-2642405761/,
2023-11-07 15:35:12.647029,Vivareal,2619231877,"Imóvel comercial    para Aluguel, 854m²","Servidão Fedrigo - Centro, Florianópolis - SC",Servidão Fedrigo ,, Centro,florianopolis,22000,Mês,,854.0,,,,https://vivareal.com.br/imovel/imovel-comercial-centro-bairros-florianopolis-854m2-aluguel-RS22000-id-2619231877/,Elevador; Aceita animais
2023-11-07 15:35:12.648436,Vivareal,2585718331,"Casa com 5 Quartos para Aluguel, 600m²","Rua Almirante Barroso, 165 - Joao Paulo, Florianópolis - SC",Rua Almirante Barroso,165.0, Joao Paulo,florianopolis,15000,Mês,,600.0,7.0,5.0,,https://vivareal.com.br/imovel/casa-5-quartos-joao-paulo-bairros-florianopolis-600m2-aluguel-RS15000-id-2585718331/,Jardim; Salão de festas; Escritório; Lareira; Sala de jantar; ...
2023-11-07 15:35:14.122862,Vivareal,2593951045,"Sala/Conjunto    para Aluguel, 243m²","Rua Delminda Silveira, 827 - Agronômica, Florianópolis - SC",Rua Delminda Silveira,827.0, Agronômica,florianopolis,8000,Mês,,243.0,6.0,,6.0,https://vivareal.com.br/imovel/sala-comercial-agronomica-bairros-florianopolis-com-garagem-243m2-aluguel-RS8000-id-2593951045/,Recepção
